player_id,player_name,team_name,team_short,position,jersey_number,is_starter,vmax_kmh,threshold_kmh,low_confidence,games_appeared,total_runs,runs_per_game,total_hsr_distance_m,hsr_distance_per_game_m,mean_duration_sec,mean_pct_of_vmax_pct,tournament_peak_speed_kmh,mean_peak_speed_kmh
1529,Ansu Fati,Spain,ESP,LW,25,false,22.24,17.79,false,2,4,2.0,59.5,29.8,2.32,115.5,30.84,25.69
13939,Djorkaeff Reasco,Ecuador,ECU,CF,24,false,20.82,16.66,false,1,2,2.0,37.3,37.3,3.36,96.0,22.63,19.98
5006,Renato Steffen,Switzerland,SUI,LW,11,false,25.22,20.18,false,1,2,2.0,34.7,34.7,2.28,114.8,30.28,28.95
13778,Daniel Chacon,Costa Rica,CRC,CDM,2,false,10.44,8.35,false,1,2,2.0,8.2,8.2,1.52,92.5,10.48,9.65
1389,Angel Correa,Argentina,ARG,CF,15,false,20.59,16.48,false,1,2,2.0,17.1,17.1,1.54,101.1,20.92,20.82
13940,Kevin Rodriguez,Ecuador,ECU,CF,26,false,17.71,14.17,false,2,3,1.5,19.6,9.8,1.39,104.3,19.17,18.48
385,Jan Bednarek,Poland,POL,RCB,5,false,12.86,10.29,false,1,1,1.0,5.0,5.0,1.4,101.1,13.01,13.01
68,Juan Foyth,Argentina,ARG,RB,2,false,18.45,14.76,false,1,1,1.0,7.5,7.5,1.4,114.6,21.15,21.15
6029,Kristijan Jakic,Croatia,CRO,CDM,26,false,8.99,7.19,false,1,1,1.0,3.3,3.3,1.6,84.7,7.61,7.61
9806,Lois Openda,Belgium,BEL,CF,24,false,21.55,17.24,false,1,1,1.0,15.7,15.7,2.6,109.7,23.64,23.64
